Negative,Positive,WC
0.004800,0.995200,20
0.999819,0.000181,23
0.004800,0.995200,20
0.999868,0.000132,12
0.000000,1.000000,11
0.598798,0.401202,23
0.953078,0.046922,23
0.001732,0.998268,25
1.000000,0.000000,25
0.000000,1.000000,12
0.001337,0.998663,23
0.002910,0.997090,27
0.999998,0.000002,27
1.000000,0.000000,23
0.966632,0.033368,20
0.000014,0.999986,29
0.000242,0.999758,21
0.999999,0.000001,21
0.193784,0.806216,23
0.101285,0.898715,6
0.002490,0.997510,25
0.060815,0.939184,32
1.000000,0.000000,8
0.000010,0.999990,17
0.999988,0.000012,22
0.125504,0.874496,28
1.000000,0.000000,17
0.999411,0.000589,18
0.984276,0.015724,10
1.000000,0.000000,4
0.000000,1.000000,35
1.000000,0.000000,24
0.000000,1.000000,35
1.000000,0.000000,29
0.971023,0.028977,27
0.000000,1.000000,14
0.999912,0.000088,25
1.000000,0.000000,21
1.000000,0.000000,21
0.789709,0.210291,21
0.997669,0.002331,22
0.997836,0.002164,22
0.733496,0.266504,14
0.999979,0.000021,20
0.999444,0.000556,21
1.000000,0.000000,25
1.000000,0.000000,22
0.170729,0.829271,3
0.851876,0.148124,26
1.000000,0.000000,30
0.000003,0.999997,26
0.000015,0.999985,11
0.999858,0.000142,15
0.997484,0.002516,22
1.000000,0.000000,24
0.000000,1.000000,12
0.000011,0.999989,22
0.000000,1.000000,23
0.000026,0.999974,18
0.000000,1.000000,8
0.000016,0.999985,26
0.999026,0.000974,21
0.999698,0.000302,14
0.999540,0.000460,22
0.999655,0.000345,18
0.999275,0.000725,24
1.000000,0.000000,17
0.000045,0.999955,16
0.667383,0.332617,8
0.556970,0.443029,21
0.005308,0.994692,26
0.008279,0.991721,29
0.000884,0.999116,6
1.000000,0.000000,28
0.014025,0.985975,26
0.999930,0.000070,25
0.998378,0.001622,6
0.999993,0.000007,25
1.000000,0.000000,23
0.000000,1.000000,8
0.000025,0.999975,22
1.000000,0.000000,12
0.573654,0.426346,24
0.991861,0.008139,9
1.000000,0.000000,5
1.000000,0.000000,4
0.391777,0.608223,3
0.563246,0.436754,2
0.093558,0.906442,5
1.000000,0.000000,6
1.000000,0.000000,13
0.004068,0.995932,6
0.009879,0.990121,22
1.000000,0.000000,25
0.000036,0.999964,26
0.002288,0.997712,3
0.000158,0.999842,23
0.999982,0.000018,26
0.998159,0.001841,24
