Negative,Positive,WC
0.999963,0.000037,14
0.971420,0.028580,29
0.999944,0.000056,23
0.086716,0.913284,24
0.000059,0.999941,27
0.188062,0.811938,20
0.187119,0.812881,22
1.000000,0.000000,19
0.999999,0.000001,18
0.973696,0.026304,23
0.002535,0.997465,25
0.011936,0.988064,22
0.415251,0.584749,18
0.998240,0.001760,21
0.023245,0.976755,19
0.000000,1.000000,22
0.998073,0.001928,26
0.009434,0.990566,22
0.115374,0.884626,22
0.000000,1.000000,22
0.997108,0.002892,24
0.999821,0.000179,17
0.900885,0.099115,21
0.171187,0.828813,21
0.005906,0.994094,23
0.074322,0.925678,26
0.005120,0.994880,22
0.999764,0.000236,23
0.002771,0.997229,24
0.284698,0.715302,25
0.999885,0.000115,20
0.000086,0.999914,22
0.999998,0.000002,26
0.999991,0.000009,19
0.997896,0.002104,12
0.000000,1.000000,20
0.999997,0.000003,17
0.999987,0.000012,23
1.000000,0.000000,28
0.612031,0.387969,23
0.000000,1.000000,22
0.999999,0.000001,26
1.000000,0.000000,26
1.000000,0.000000,22
0.891610,0.108390,20
1.000000,0.000000,25
0.000206,0.999794,25
0.999999,0.000001,24
0.993200,0.006800,25
0.999997,0.000003,23
0.003935,0.996065,16
0.997202,0.002798,24
0.005462,0.994538,25
0.200410,0.799590,20
0.027836,0.972164,22
0.000000,1.000000,19
0.000010,0.999990,22
0.995543,0.004457,25
0.945139,0.054861,30
0.999768,0.000232,23
0.459659,0.540341,23
0.999997,0.000003,19
0.996862,0.003138,19
0.002265,0.997735,21
0.989784,0.010216,19
0.946164,0.053836,22
0.055670,0.944331,24
0.998028,0.001972,18
0.988902,0.011098,22
0.999998,0.000002,20
0.999999,0.000001,23
1.000000,0.000000,22
0.969340,0.030660,19
0.011387,0.988613,18
0.000001,0.999999,24
0.000149,0.999851,19
0.002772,0.997228,22
0.000003,0.999997,25
0.310362,0.689638,22
0.999937,0.000063,22
0.999997,0.000003,20
0.000036,0.999964,22
0.413143,0.586857,21
0.000033,0.999967,25
0.143015,0.856985,23
0.338984,0.661016,25
1.000000,0.000000,23
1.000000,0.000000,18
0.999984,0.000016,27
0.000030,0.999970,17
0.002266,0.997734,25
0.000000,1.000000,18
0.999997,0.000003,20
0.004758,0.995242,25
0.949591,0.050409,18
0.998517,0.001483,21
1.000000,0.000000,21
0.000000,1.000000,23
0.000000,1.000000,22
0.671459,0.328541,25
0.000278,0.999722,15
0.993124,0.006876,18
0.999988,0.000012,22
0.000010,0.999990,24
0.992119,0.007881,27
0.000000,1.000000,20
1.000000,0.000000,24
0.190611,0.809389,22
0.911695,0.088305,25
0.418323,0.581677,24
1.000000,0.000000,28
0.999985,0.000015,15
0.251910,0.748090,15
0.000450,0.999550,20
0.977933,0.022067,23
0.999589,0.000411,17
0.959798,0.040202,23
0.874803,0.125197,19
0.999358,0.000641,26
1.000000,0.000000,29
0.999999,0.000001,23
0.000000,1.000000,24
0.000007,0.999993,20
0.998565,0.001435,24
0.998044,0.001956,19
0.991988,0.008012,17
0.848655,0.151345,21
0.108790,0.891210,20
1.000000,0.000000,21
0.621564,0.378436,25
0.006035,0.993965,22
0.709890,0.290110,23
0.984502,0.015498,18
0.999999,0.000001,23
0.000000,1.000000,20
0.000001,1.000000,18
0.000023,0.999977,21
0.021013,0.978987,25
0.999984,0.000016,19
0.869940,0.130060,22
0.998209,0.001791,22
0.960587,0.039413,27
0.959615,0.040385,21
1.000000,0.000000,23
1.000000,0.000000,19
0.022807,0.977193,20
1.000000,0.000000,19
0.995417,0.004583,22
0.352161,0.647839,25
1.000000,0.000000,25
0.000000,1.000000,19
1.000000,0.000000,25
0.977567,0.022433,24
0.008355,0.991646,28
0.000000,1.000000,21
0.000036,0.999964,21
0.768242,0.231758,24
0.999998,0.000002,21
1.000000,0.000000,23
1.000000,0.000000,23
0.012783,0.987217,26
0.965250,0.034750,14
0.992123,0.007877,24
0.999996,0.000004,27
0.000000,1.000000,10
0.996948,0.003052,13
0.000004,0.999996,20
0.994462,0.005538,21
0.997605,0.002395,22
0.000074,0.999926,24
0.001110,0.998890,29
0.831384,0.168617,20
0.999710,0.000290,23
0.996948,0.003052,26
0.988916,0.011084,30
0.950733,0.049267,26
0.999970,0.000030,19
0.010860,0.989140,23
0.999998,0.000002,21
0.999949,0.000051,22
0.985288,0.014712,23
1.000000,0.000000,27
1.000000,0.000000,24
1.000000,0.000000,21
0.000005,0.999995,19
0.021059,0.978941,19
0.774614,0.225386,23
0.001182,0.998818,22
0.951097,0.048903,22
0.122273,0.877727,25
0.000024,0.999976,27
0.732122,0.267878,7
0.428080,0.571920,23
0.022050,0.977950,19
0.323589,0.676411,23
0.004907,0.995093,23
0.000000,1.000000,24
0.999995,0.000005,25
0.427639,0.572361,21
0.997434,0.002566,26
0.710806,0.289194,14
0.001255,0.998745,16
0.001032,0.998968,25
0.000007,0.999993,19
1.000000,0.000000,21
0.000031,0.999969,21
0.060155,0.939845,23
0.001119,0.998881,21
0.005283,0.994717,19
0.926049,0.073951,21
0.025258,0.974742,25
0.138415,0.861585,26
0.890504,0.109496,22
0.172115,0.827885,29
0.981694,0.018306,23
0.962831,0.037169,23
0.984315,0.015685,21
0.000001,0.999999,19
0.440144,0.559856,19
0.997716,0.002284,22
0.999562,0.000438,30
1.000000,0.000000,25
0.000007,0.999993,20
1.000000,0.000000,18
0.026826,0.973174,16
0.000000,1.000000,25
1.000000,0.000000,18
0.996008,0.003992,18
0.000031,0.999969,25
1.000000,0.000000,21
0.171281,0.828719,30
1.000000,0.000000,30
0.995942,0.004058,27
0.994268,0.005732,25
1.000000,0.000000,21
0.041534,0.958466,23
0.494382,0.505618,24
0.000594,0.999406,27
0.234233,0.765767,21
1.000000,0.000000,21
1.000000,0.000000,25
0.999303,0.000697,24
0.000002,0.999998,17
0.208001,0.791999,20
1.000000,0.000000,23
0.018108,0.981892,27
1.000000,0.000000,21
0.525205,0.474795,23
0.999797,0.000203,19
0.002024,0.997976,19
0.000000,1.000000,23
1.000000,0.000000,30
0.999988,0.000012,24
0.826003,0.173997,27
1.000000,0.000000,10
1.000000,0.000000,9
1.000000,0.000000,21
1.000000,0.000000,21
0.748615,0.251385,21
0.025107,0.974893,24
1.000000,0.000000,8
1.000000,0.000000,10
0.999998,0.000002,15
1.000000,0.000000,9
0.998514,0.001486,21
0.999494,0.000506,27
0.000006,0.999994,20
0.672097,0.327903,16
0.001730,0.998270,25
0.999883,0.000117,27
0.000065,0.999935,18
0.997258,0.002742,23
0.000148,0.999852,13
0.994457,0.005543,14
0.999977,0.000024,21
0.999999,0.000001,21
1.000000,0.000000,21
0.000022,0.999978,18
0.802797,0.197203,19
0.417198,0.582802,22
0.999984,0.000016,26
1.000000,0.000000,24
0.999267,0.000733,25
