"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
".@TinaTurner has been through the fire recently, one challenge after the other, and came out on the other side “ano… https://t.co/ZzNdo1W0lM",FALSE,2389,NA,2018-10-19 17:05:18,TRUE,NA,"1053331268094484480",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Oprah",361,FALSE,FALSE,NA,NA
"I have no words for tonight’s episode of #Greenleaf other than Zora, honey child, you better mind your mama! The ne… https://t.co/r5n6NJ8vj0",FALSE,3537,NA,2018-10-17 19:55:36,TRUE,NA,"1052649347651796992",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Oprah",450,FALSE,FALSE,NA,NA
"O ye of little faith Sophia!  #Greenleaf",FALSE,1335,NA,2018-10-04 02:59:22,FALSE,NA,"1047682561491652608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",142,FALSE,FALSE,NA,NA
"@_________Phalon “I’m shooketh”<U+0001F923><U+0001F923> #GreenLeaf",FALSE,26,"_________Phalon",2018-10-04 02:51:47,FALSE,"1047679563432677376","1047680655331483648","234513037","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",3,FALSE,FALSE,NA,NA
"@TALKTOTWANNA @IyanlaVanzant @GreenleafOWN @OWNTV Saw that look too @IyanlaVanzant #GreenLeaf",FALSE,19,"TALKTOTWANNA",2018-10-04 02:49:35,FALSE,"1047679776746397696","1047680101582700544","377017900","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",1,FALSE,FALSE,NA,NA
"@TonyDonaldsonJr Never thought of it that way before. #GreenLeaf",FALSE,148,"TonyDonaldsonJr",2018-10-04 02:45:53,FALSE,"1047678210014633985","1047679171130929152","475506128","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",19,FALSE,FALSE,NA,NA
"@IyanlaVanzant Loved that look you just gave Lady Mae! #GreenLeaf",FALSE,183,"IyanlaVanzant",2018-10-04 02:42:55,FALSE,"1047676810320928773","1047678421285761025","27368199","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",13,FALSE,FALSE,NA,NA
"@3LWTV @OWNTV @IyanlaVanzant Cross pollination<U+0001F44D><U+0001F3FE><U+0001F44D><U+0001F3FE>#Greenleaf",FALSE,17,"3LWTV",2018-10-04 02:41:39,FALSE,"1047677864777326592","1047678104737476609","20831692","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",5,FALSE,FALSE,NA,NA
"@brooklyn_locs Those tantrums Got me <U+0001F923><U+0001F923> over hear! #Greenleaf",FALSE,12,"brooklyn_locs",2018-10-04 02:37:21,FALSE,"1047676256463085568","1047677020916740096","4911208347","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",1,FALSE,FALSE,NA,NA
"I think @IyanlaVanzant is doing a great job. Quiet as it’s kept , it’s hard to “play” yourself. #Greenleaf",FALSE,3188,NA,2018-10-04 02:31:06,FALSE,NA,"1047675449361367041",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",239,FALSE,FALSE,NA,NA
