Negative,Positive,WC
0.000509,0.999491,22
0.061651,0.938349,25
0.000197,0.999803,8
0.999974,0.000026,9
0.000009,0.999991,10
0.001237,0.998763,9
0.999855,0.000145,11
1.000000,0.000000,14
0.999525,0.000475,14
0.002988,0.997012,21
0.000000,1.000000,23
0.000001,1.000000,6
0.975086,0.024914,9
0.153466,0.846534,16
0.006106,0.993894,14
0.183938,0.816062,19
0.000129,0.999871,23
0.997987,0.002013,29
1.000000,0.000000,10
0.524761,0.475239,10
0.000285,0.999715,13
0.649204,0.350796,22
0.999569,0.000431,28
0.000000,1.000000,25
0.167145,0.832855,21
0.000000,1.000000,20
0.000007,0.999993,7
0.996205,0.003795,9
0.999609,0.000391,6
0.999689,0.000311,9
1.000000,0.000000,17
1.000000,0.000000,12
0.063760,0.936240,5
0.001407,0.998593,13
0.000000,1.000000,25
0.999931,0.000069,29
0.992847,0.007153,24
1.000000,0.000000,17
1.000000,0.000000,22
1.000000,0.000000,21
1.000000,0.000000,23
1.000000,0.000000,18
1.000000,0.000000,27
0.000029,0.999971,23
1.000000,0.000000,22
0.000000,1.000000,6
0.947000,0.053000,22
0.999944,0.000056,9
0.962909,0.037091,25
0.000003,0.999997,20
1.000000,0.000000,21
1.000000,0.000000,9
0.068469,0.931531,6
0.999997,0.000003,29
1.000000,0.000000,17
1.000000,0.000000,26
0.017247,0.982753,25
0.999844,0.000156,8
0.993692,0.006308,11
1.000000,0.000000,6
0.999999,0.000001,6
0.000014,0.999986,5
0.881053,0.118947,7
0.999925,0.000075,9
0.000310,0.999690,18
0.999405,0.000595,11
0.956055,0.043945,18
0.103097,0.896903,9
1.000000,0.000000,11
0.000990,0.999010,18
1.000000,0.000000,11
0.999584,0.000416,27
0.020759,0.979241,3
0.439654,0.560346,11
0.004615,0.995385,6
0.998391,0.001609,10
0.000010,0.999990,8
0.000044,0.999956,17
0.000001,0.999999,17
0.816305,0.183695,24
0.151302,0.848698,13
0.997560,0.002440,7
0.950372,0.049628,5
1.000000,0.000000,15
0.999974,0.000026,22
0.999913,0.000087,10
0.999995,0.000005,10
0.999933,0.000067,16
1.000000,0.000000,9
0.000040,0.999960,17
0.999938,0.000062,9
0.973737,0.026263,24
0.000001,0.999999,9
1.000000,0.000000,19
0.000000,1.000000,10
1.000000,0.000000,18
0.000017,0.999983,12
0.001425,0.998575,14
0.000000,1.000000,30
1.000000,0.000000,26
1.000000,0.000000,15
0.000014,0.999986,7
0.000001,0.999999,14
0.999283,0.000717,10
0.992806,0.007194,18
0.000016,0.999984,22
0.970261,0.029739,23
1.000000,0.000000,23
0.708245,0.291755,33
1.000000,0.000000,22
0.000003,0.999997,27
1.000000,0.000000,17
0.838578,0.161422,22
0.000000,1.000000,20
0.999627,0.000373,17
0.000065,0.999935,26
1.000000,0.000000,21
0.855642,0.144358,22
1.000000,0.000000,21
1.000000,0.000000,23
0.938519,0.061481,7
0.999980,0.000020,5
0.632100,0.367900,3
0.947944,0.052056,15
0.914996,0.085004,8
0.000003,0.999997,24
0.000134,0.999866,20
0.999997,0.000003,24
1.000000,0.000000,26
1.000000,0.000000,21
1.000000,0.000000,21
0.000019,0.999981,19
0.999991,0.000009,21
0.999999,0.000001,19
0.997480,0.002520,23
1.000000,0.000000,14
1.000000,0.000000,10
0.000062,0.999938,12
0.000000,1.000000,21
0.080696,0.919304,22
0.000008,0.999992,14
0.257458,0.742542,15
0.040759,0.959241,15
1.000000,0.000000,7
0.395024,0.604976,9
0.999997,0.000003,10
0.000164,0.999836,7
0.372689,0.627311,8
0.997749,0.002251,11
1.000000,0.000000,14
0.999989,0.000011,9
0.000002,0.999998,19
0.043236,0.956764,15
0.170729,0.829271,3
0.003917,0.996083,12
0.037628,0.962372,13
0.999997,0.000003,16
1.000000,0.000000,16
0.002293,0.997707,21
0.999992,0.000007,23
1.000000,0.000000,22
0.000553,0.999447,21
0.001638,0.998362,13
0.000610,0.999390,15
1.000000,0.000000,27
0.297065,0.702935,10
0.999999,0.000001,7
0.208407,0.791593,17
1.000000,0.000000,13
0.308523,0.691477,20
0.001613,0.998387,16
1.000000,0.000000,18
1.000000,0.000000,16
0.006408,0.993592,26
1.000000,0.000000,17
1.000000,0.000000,18
0.401244,0.598756,10
0.999999,0.000001,12
0.988972,0.011028,16
0.994570,0.005430,10
0.996629,0.003371,20
0.999743,0.000257,21
0.007896,0.992104,20
0.737489,0.262511,20
0.460347,0.539653,25
0.010547,0.989453,20
1.000000,0.000000,19
0.518511,0.481489,6
0.014118,0.985882,9
0.000000,1.000000,13
0.999999,0.000001,22
0.000000,1.000000,21
0.350143,0.649857,4
0.935600,0.064400,5
0.000000,1.000000,14
1.000000,0.000000,17
0.000000,1.000000,30
0.000013,0.999987,10
0.999477,0.000523,18
0.000044,0.999956,20
0.000000,1.000000,15
0.981457,0.018543,4
0.999569,0.000431,15
0.000161,0.999839,23
0.999986,0.000014,21
0.998334,0.001666,13
0.999966,0.000034,3
0.993701,0.006299,6
1.000000,0.000000,12
1.000000,0.000000,8
1.000000,0.000000,18
1.000000,0.000000,15
1.000000,0.000000,17
0.001103,0.998897,10
1.000000,0.000000,18
0.026646,0.973354,23
1.000000,0.000000,24
0.999996,0.000004,3
0.000000,1.000000,23
0.000000,1.000000,11
0.000000,1.000000,20
0.999997,0.000003,23
1.000000,0.000000,22
0.997337,0.002663,22
0.997599,0.002401,8
1.000000,0.000000,14
0.099534,0.900466,5
1.000000,0.000000,17
0.999933,0.000067,24
0.000056,0.999944,10
0.001042,0.998958,22
0.448342,0.551658,28
1.000000,0.000000,10
0.003842,0.996157,26
0.816579,0.183421,12
0.953142,0.046858,10
0.049086,0.950914,6
1.000000,0.000000,14
0.999975,0.000025,8
0.000000,1.000000,19
0.999962,0.000038,21
1.000000,0.000000,23
1.000000,0.000000,21
1.000000,0.000000,18
0.040823,0.959177,3
1.000000,0.000000,8
0.000001,0.999999,5
1.000000,0.000000,9
0.999963,0.000037,10
0.952491,0.047509,13
1.000000,0.000000,16
0.999846,0.000154,11
0.271853,0.728147,10
1.000000,0.000000,15
0.999194,0.000806,13
1.000000,0.000000,8
1.000000,0.000000,13
0.000003,0.999997,7
0.126413,0.873587,3
0.033466,0.966534,22
0.000000,1.000000,19
0.000150,0.999850,14
0.999924,0.000076,21
1.000000,0.000000,11
0.999923,0.000077,11
0.000556,0.999444,19
0.005241,0.994759,11
0.999964,0.000036,11
1.000000,0.000000,21
1.000000,0.000000,21
0.068447,0.931553,14
0.853641,0.146359,25
0.997232,0.002768,21
0.282391,0.717609,6
0.998351,0.001649,6
0.000000,1.000000,16
0.999793,0.000207,14
1.000000,0.000000,20
0.997968,0.002032,11
0.447026,0.552974,20
1.000000,0.000000,9
1.000000,0.000000,25
0.120474,0.879526,13
0.000112,0.999888,21
0.160036,0.839964,6
0.000148,0.999852,17
1.000000,0.000000,16
0.999996,0.000004,21
0.124237,0.875763,3
0.999864,0.000136,9
0.000000,1.000000,20
0.012641,0.987359,18
0.999974,0.000026,24
0.924766,0.075234,23
1.000000,0.000000,19
0.820244,0.179756,21
0.999964,0.000036,16
0.587541,0.412459,21
0.995861,0.004139,11
0.975171,0.024829,8
0.004788,0.995212,6
0.999993,0.000007,17
1.000000,0.000000,26
0.386314,0.613686,14
0.041129,0.958871,22
0.066780,0.933220,23
0.002169,0.997831,20
1.000000,0.000000,16
0.999988,0.000012,15
1.000000,0.000000,8
0.983821,0.016179,10
1.000000,0.000000,12
0.000000,1.000000,6
