Negative,Positive,WC
0.000024,0.999976,18
0.393093,0.606907,25
0.019571,0.980429,21
0.000012,0.999988,20
0.999977,0.000023,16
0.908348,0.091652,25
0.999754,0.000246,21
0.998213,0.001787,23
0.842684,0.157316,22
0.999833,0.000167,14
0.999544,0.000456,23
0.982561,0.017439,19
0.998366,0.001634,21
0.427998,0.572002,26
0.648123,0.351877,18
0.999997,0.000003,21
1.000000,0.000000,19
0.819500,0.180500,15
1.000000,0.000000,18
0.999979,0.000021,25
0.999616,0.000384,22
0.999991,0.000009,18
0.999824,0.000176,19
1.000000,0.000000,20
1.000000,0.000000,23
0.093843,0.906157,20
1.000000,0.000000,23
0.312131,0.687869,23
1.000000,0.000000,23
0.999613,0.000387,23
0.999998,0.000002,21
0.000001,0.999999,25
0.957705,0.042295,19
0.080445,0.919555,21
0.998684,0.001316,27
0.999986,0.000014,22
0.062107,0.937893,14
0.107991,0.892009,4
0.999205,0.000795,8
0.999999,0.000001,21
0.999980,0.000020,19
1.000000,0.000000,21
0.000000,1.000000,21
1.000000,0.000000,24
0.000000,1.000000,18
0.978894,0.021105,21
1.000000,0.000000,23
0.000058,0.999942,15
1.000000,0.000000,13
0.000000,1.000000,22
0.002488,0.997512,21
0.689811,0.310189,20
1.000000,0.000000,22
0.050048,0.949952,16
0.001523,0.998477,18
0.000070,0.999930,19
0.959555,0.040445,19
0.029450,0.970550,9
0.753263,0.246737,25
0.000009,0.999991,21
0.001388,0.998612,16
0.999998,0.000002,20
1.000000,0.000000,23
0.270898,0.729102,18
0.999906,0.000094,20
0.999964,0.000036,24
1.000000,0.000000,15
0.998175,0.001825,20
0.999998,0.000002,25
0.628360,0.371640,26
1.000000,0.000000,21
0.999977,0.000023,23
0.002415,0.997585,24
0.997492,0.002508,20
0.000004,0.999996,21
0.998010,0.001990,18
0.993895,0.006105,21
0.999914,0.000086,21
0.635138,0.364862,21
1.000000,0.000000,17
0.996407,0.003593,16
1.000000,0.000000,26
0.619758,0.380242,20
0.000175,0.999825,20
1.000000,0.000000,22
0.999972,0.000028,22
0.964871,0.035129,21
0.002898,0.997102,21
0.000168,0.999831,21
0.997369,0.002631,20
0.000000,1.000000,9
0.067136,0.932864,25
0.999928,0.000072,15
0.999824,0.000176,22
0.084122,0.915877,24
0.952798,0.047202,23
0.998465,0.001535,28
0.969728,0.030272,23
0.003479,0.996521,21
0.999803,0.000197,26
0.998181,0.001819,21
0.999999,0.000001,23
1.000000,0.000000,17
0.999941,0.000059,19
0.995961,0.004039,21
1.000000,0.000000,16
1.000000,0.000000,21
0.000006,0.999994,21
1.000000,0.000000,27
0.998046,0.001954,19
0.907013,0.092987,18
0.000000,1.000000,25
0.999994,0.000006,16
0.000000,1.000000,21
1.000000,0.000000,9
0.833390,0.166610,16
0.998550,0.001450,21
0.003250,0.996750,16
0.998075,0.001925,16
0.982633,0.017367,10
0.997198,0.002802,11
0.999375,0.000625,28
0.598315,0.401685,22
0.644606,0.355394,26
0.039398,0.960602,23
0.999850,0.000150,26
0.999999,0.000001,21
0.000223,0.999777,24
0.999980,0.000020,25
0.153864,0.846136,21
0.881248,0.118752,23
0.999999,0.000001,24
0.778032,0.221968,25
0.129787,0.870213,16
0.194204,0.805796,23
1.000000,0.000000,22
1.000000,0.000000,24
0.387712,0.612288,23
0.996924,0.003076,24
