"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Let’s go FLORIDA! https://t.co/0pWiwCq4MH https://t.co/6kaVM1TaiB",FALSE,8424,NA,2018-10-22 19:55:58,FALSE,NA,"1054461380797943809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",2696,FALSE,FALSE,NA,NA
"Last day to register to VOTE in Alabama, California, South Dakota and Wyoming! #JobsNotMobs https://t.co/0pWiwCq4MH https://t.co/hmQgqgmbyE",FALSE,7497,NA,2018-10-22 19:54:04,FALSE,NA,"1054460902076862466",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",2634,FALSE,FALSE,NA,NA
"WOW - thank you Houston, Texas! I am departing @Andrews_JBA now. See you in a few hours!! #MAGA<U+0001F1FA><U+0001F1F8> https://t.co/UxZCo19cxT",FALSE,18064,NA,2018-10-22 19:27:20,FALSE,NA,"1054454173142380544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",5278,FALSE,FALSE,NA,NA
"....I say of course they’re low - because for the first time in 50 years I am making them pay a big price for doing… https://t.co/0gEgvCVWIZ",FALSE,22593,"realDonaldTrump",2018-10-22 19:18:31,TRUE,"1054451954397667328","1054451956608049152","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",5076,FALSE,FALSE,NA,NA
"The Fake News Media has been talking about recent approval ratings of me by countries around the world, including t… https://t.co/icEEpuNNi3",FALSE,19428,NA,2018-10-22 19:18:31,TRUE,NA,"1054451954397667328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",4872,FALSE,FALSE,NA,NA
"“America: the Cleanest Air in the World - BY FAR!” https://t.co/rMtxHSnof4",FALSE,26676,NA,2018-10-22 18:00:32,FALSE,NA,"1054432329710608385",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",8400,FALSE,FALSE,NA,NA
"“Shock report: US paying more for illegal immigrant births than Trump’s wall” https://t.co/FX3ljN7kPS",FALSE,30689,NA,2018-10-22 17:52:46,FALSE,NA,"1054430376557535232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",13952,FALSE,FALSE,NA,NA
"Big Night In Texas!!!!",FALSE,50709,NA,2018-10-22 12:58:39,FALSE,NA,"1054356359096033281",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",11313,FALSE,FALSE,NA,NA
"Guatemala, Honduras and El Salvador were not able to do the job of stopping people from leaving their country and c… https://t.co/8jXIdewhIv",FALSE,93156,NA,2018-10-22 12:57:48,TRUE,NA,"1054356145798856704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",26607,FALSE,FALSE,NA,NA
"Every time you see a Caravan, or people illegally coming, or attempting to come, into our Country illegally, think… https://t.co/OdHQF1hinv",FALSE,92730,NA,2018-10-22 12:49:31,TRUE,NA,"1054354059535269888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",27266,FALSE,FALSE,NA,NA
