Negative,Positive,WC
1.000000,0.000000,5
0.072825,0.927175,17
0.000048,0.999952,26
0.999999,0.000001,25
1.000000,0.000000,21
0.000583,0.999417,10
1.000000,0.000000,13
0.000095,0.999905,8
0.999999,0.000001,22
0.963454,0.036546,23
0.999909,0.000091,22
0.960773,0.039227,22
0.083973,0.916027,19
0.997598,0.002402,22
0.000058,0.999942,23
0.986174,0.013826,15
0.000872,0.999128,20
0.000001,0.999999,25
0.000076,0.999924,18
0.962650,0.037351,22
0.985395,0.014605,25
0.000000,1.000000,22
0.999975,0.000025,22
1.000000,0.000000,22
0.974645,0.025355,20
1.000000,0.000000,22
0.000005,0.999995,20
0.091402,0.908598,18
0.999950,0.000050,20
0.102852,0.897148,8
0.999864,0.000136,21
0.060667,0.939333,13
0.326458,0.673542,2
1.000000,0.000000,22
0.999983,0.000017,22
1.000000,0.000000,14
0.000002,0.999998,14
0.326458,0.673542,2
0.999997,0.000003,20
0.000074,0.999926,20
0.999965,0.000035,20
0.926575,0.073425,20
0.999022,0.000978,21
0.978673,0.021327,12
1.000000,0.000000,10
1.000000,0.000000,17
1.000000,0.000000,23
0.816140,0.183860,12
0.999906,0.000094,16
0.292252,0.707748,22
0.234314,0.765686,20
1.000000,0.000000,21
0.000627,0.999373,21
0.089000,0.911000,20
1.000000,0.000000,22
0.921416,0.078584,19
0.020793,0.979207,23
0.004163,0.995837,21
0.998822,0.001178,20
0.000001,0.999999,17
0.493537,0.506463,1
0.493537,0.506463,1
0.493537,0.506463,1
0.493537,0.506463,1
0.999999,0.000001,19
0.000000,1.000000,34
1.000000,0.000000,22
0.000012,0.999988,22
0.991297,0.008703,21
0.960063,0.039937,15
1.000000,0.000000,12
1.000000,0.000000,22
0.999962,0.000038,22
0.019874,0.980126,24
0.000209,0.999791,20
0.995620,0.004380,12
1.000000,0.000000,26
0.002047,0.997953,21
0.266003,0.733997,22
0.283559,0.716441,23
0.999999,0.000001,23
0.999901,0.000099,24
0.999976,0.000024,23
1.000000,0.000000,21
0.999957,0.000043,7
0.563246,0.436754,2
1.000000,0.000000,24
0.998645,0.001355,17
0.998090,0.001910,18
0.880443,0.119557,24
1.000000,0.000000,25
0.000150,0.999850,11
0.020064,0.979936,20
0.994201,0.005798,18
1.000000,0.000000,25
0.850298,0.149702,24
1.000000,0.000000,23
0.884998,0.115002,6
0.999023,0.000977,19
0.130325,0.869675,26
0.996804,0.003196,24
0.000000,1.000000,20
0.000157,0.999843,8
0.479944,0.520056,21
1.000000,0.000000,22
0.999615,0.000385,22
0.997287,0.002713,24
0.999993,0.000007,21
0.390994,0.609006,8
0.067133,0.932867,3
1.000000,0.000000,19
1.000000,0.000000,25
